symbol,accuracy,recall,precision,trade_amount,pred_ct
RHI,0.6408805031446541,0.0017513134851138354,0.5,0.4099998474121094,2
LDOS,0.6513647642679901,0.0,0.0,0,0
GWW,0.6376887038001041,0.005763688760806916,0.4,5.684341886080802e-14,10
HII,0.6380789022298456,0.0,0.0,0,0
PM,0.6653061224489796,0.0,0.0,0,0
XEL,0.6709470304975923,0.0,0.0,0,0
BXP,0.6815686274509803,0.0,0.0,0,0
A,0.6617519514310495,0.0,0.0,0,0
LUV,0.6529193697868396,0.001336898395721925,0.3333333333333333,-0.11999893188476562,3
GRMN,0.66,0.0,0.0,0,0
ZBH,0.6800748362956034,0.0,0.0,0,0
HBI,0.6157635467980296,0.00641025641025641,0.5,0.09000110626220703,4
UDR,0.6777142857142857,0.0053285968028419185,0.42857142857142855,0.8600044250488281,7
WY,0.6577154308617235,0.013048635824436536,0.3333333333333333,1.9899978637695384,33
HLT,0.6143497757847534,0.0,0.0,0,0
QRVO,0.6055979643765903,0.0,0.0,0,0
AEE,0.6770833333333334,0.0,0.0,0,0
TSN,0.6628540305010894,0.0,0.0,0,0
HCA,0.6188034188034188,0.0,0.0,0,0
DHI,0.6137254901960785,0.0,0.0,0,0
REGN,0.6377358490566037,0.005208333333333333,0.5,34.590087890625,6
AEP,0.689447990987608,0.0012077294685990338,1.0,1.3600006103515625,1
URI,0.5896,0.0,0.0,0,0
GOOG,0.6371584699453552,0.005988023952095809,1.0,2.5500030517578125,2
AMT,0.6564516129032258,0.0,0.0,0,0
ALTR,0.588,0.02912621359223301,0.5,1.649993896484382,6
MDLZ,0.7001862197392924,0.0,0.0,0,0
HUM,0.6587263004375303,0.0,0.0,-1.479995727539091,1
TRV,0.7049180327868853,0.0,0.0,0,0
MS-PF,0.8632286995515696,0.0,0.0,0,0
UAL,0.6123662306777645,0.043478260869565216,0.4375,-1.550008773803711,32
MCO,0.6477272727272727,0.0,0.0,0,0
FAST,0.6469872185027389,0.0,0.0,0,0
MSFT,0.6682926829268293,0.0,0.0,0,0
MRCR,0.9605734767025089,0.0,0.0,0,0
HD,0.6750362143891839,0.0,0.0,0,0
AME,0.6924273858921162,0.011784511784511785,0.5384615384615384,0.41001129150390625,13
SRE,0.6478758169934641,0.06388206388206388,0.34210526315789475,-0.1000213623046875,76
RL,0.6026645768025078,0.0,0.0,0,0
DIS,0.7117117117117117,0.0,0.0,0,0
EIX,0.6524559777571826,0.008075370121130552,0.3157894736842105,-5.670017242431641,19
LRCX,0.6075563680682511,0.0,0.0,0,0
BBY,0.6121693121693121,0.0,0.0,0,0
NSC,0.6483300589390962,0.0,0.0,0,0
PVH,0.6186203028603477,0.00741839762611276,0.3125,-9.54000091552735,16
SYF,0.5845410628019324,0.0,0.0,0,0
MSCI,0.59254327563249,0.0,0.0,0,0
DXCM,0.5260770975056689,0.13471502590673576,0.38235294117647056,-57.37994384765619,136
BDX,0.6857142857142857,0.0,0.0,0,0
BA,0.6486486486486487,0.03524229074889868,0.34782608695652173,-97.4199600219728,92
MU,0.5946587537091989,0.0,0.0,0,0
PPG,0.6900702106318957,0.0016155088852988692,1.0,1.339996337890625,1
TJX,0.6670467502850627,0.0,0.0,0,0
WMB,0.6451142440447253,0.019417475728155338,0.3783783783783784,-7.800014495849602,37
OKE,0.4898936170212766,0.534850640113798,0.373015873015873,-21.899983406066966,1008
BAC,0.6608884073672806,0.0,0.0,0,0
VTR,0.640405616224649,0.022026431718061675,0.37037037037037035,0.2000102996826314,27
ALK,0.6382660687593423,0.0013850415512465374,0.16666666666666666,-3.5699920654296875,6
CTQ,-999.999,-999.999,-999.999,-999.999,-999.999
EXR,0.5092896174863388,0.3619631901840491,0.3286908077994429,-71.12986755371112,359
WYNN,0.6073558648111332,0.010126582278481013,0.5,5.650009155273452,8
SWKS,0.5247267048412285,0.2737276478679505,0.3407534246575342,-112.03004837036146,584
WBA,0.6781914893617021,0.0,0.0,0,0
FFIV,0.6295666949872557,0.0,0.0,0,0
HON,0.7195945945945946,0.0,0.0,0,0
PG,0.7383633633633634,0.0,0.0,0,0
ABT,0.6780341023069207,0.0,0.0,0,0
DOV,0.6702127659574468,0.0,0.0,0,0
UNP,0.530583873957368,0.4762589928057554,0.3377551020408163,8.490081787108878,980
BSX,0.6664490861618799,0.0,0.0,0,0
SWK,0.675531914893617,0.0,0.0,-0.6100006103515625,1
CHRW,0.6465448768864178,0.0,0.0,0,0
O,0.5858156028368794,0.31277533039647576,0.34299516908212563,-0.24482345581055398,414
SPG,0.6551961459050241,0.056,0.49122807017543857,-20.650012969970682,57
MO,0.6880630630630631,0.0,0.0,0,0
