symbol,accuracy,recall,precision,trade_amount,pred_ct
RHI,0.640251572327044,0.0035026269702276708,0.4,1.2700004577636719,5
LDOS,0.6513647642679901,0.0,0.0,0,0
GWW,0.6382092660072879,0.001440922190201729,0.3333333333333333,-0.6499938964843182,3
HII,0.6380789022298456,0.0,0.0,0,0
PM,0.672108843537415,0.024390243902439025,0.8571428571428571,7.850013732910156,7
XEL,0.6709470304975923,0.0,0.0,0,0
BXP,0.6815686274509803,0.0,0.0,0,0
A,0.6608846487424112,0.0,0.0,-0.789997100830071,1
LUV,0.6533827618164968,0.0,0.0,0,0
GRMN,0.66,0.0,0.0,0,0
ZBH,0.6800748362956034,0.0,0.0,0,0
HBI,0.5972906403940886,0.028846153846153848,0.2727272727272727,-2.0999975204467773,33
UDR,0.6782857142857143,0.0,0.0,0,0
WY,0.6625250501002004,0.00830367734282325,0.5384615384615384,2.3700027465820277,13
HLT,0.6143497757847534,0.0,0.0,0,0
QRVO,0.6055979643765903,0.0064516129032258064,0.5,-0.2599945068359659,2
AEE,0.6770833333333334,0.0,0.0,0,0
TSN,0.6623093681917211,0.0,0.0,-0.1999969482421946,1
HCA,0.6188034188034188,0.0,0.0,0,0
DHI,0.6130718954248366,0.0,0.0,-0.220001220703125,1
REGN,0.6377358490566037,0.008680555555555556,0.5,32.95999145507818,10
AEP,0.6890724746526474,0.0,0.0,0,0
URI,0.5872,0.0,0.0,-8.549995422363295,3
GOOG,0.6349726775956284,0.0,0.0,0,0
AMT,0.6564516129032258,0.0,0.0,0,0
ALTR,0.588,0.0,0.0,0,0
MDLZ,0.7001862197392924,0.0,0.0,0,0
HUM,0.659212445308702,0.0,0.0,0,0
TRV,0.7049180327868853,0.0,0.0,0,0
MS-PF,0.8632286995515696,0.0,0.0,0,0
UAL,0.6171224732461356,0.0,0.0,0,0
MCO,0.6477272727272727,0.0,0.0,0,0
FAST,0.6469872185027389,0.0,0.0,0,0
MSFT,0.6682926829268293,0.0,0.0,0,0
MRCR,0.9605734767025089,0.0,0.0,0,0
HD,0.6750362143891839,0.0,0.0,0,0
AME,0.691908713692946,0.0,0.0,0,0
SRE,0.6674836601307189,0.0,0.0,0,0
RL,0.5987460815047022,0.005917159763313609,0.2727272727272727,-8.36001586914064,11
DIS,0.7117117117117117,0.0,0.0,0,0
EIX,0.6556997219647822,0.0,0.0,0,0
LRCX,0.6069469835466179,0.0,0.0,-0.09999847412109375,1
